"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"24";"";"LEDSML1206";"SML1206";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24";"LED";"";"";"";"";
"6";"";"MA08-1";"MA08-1";"SV1, SV2, SV9, SV10, SV11, SV12";"PIN HEADER";"";"";"unknown";"unknown";
"1";"";"PINHD-1X2";"1X02";"X1";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"X2";"PIN HEADER";"";"";"";"";
"3";"";"ULN2803AFWG";"SOP18";"IC1, IC2, IC3";"DRIVER ARRAY";"";"";"";"";
"24";"470";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24";"RESISTOR, American symbol";"";"";"";"";
"6";"RJ45-8X";"RJ45-8X";"RJ45-NO-SHIELD";"SV3, SV4, SV5, SV6, SV7, SV8";"CORCOM Modular RJ Jacks No Shield";"";"RJ45-8X";"unknown";"16R6101";
